large 1:
design design
idear idea
ideas ideas
tholgts thoughts
hippopotamus hippopotamus
becose because
future future
improvements improvements
implementation implementation
implementation implementation
explanations explanations
business business
ditect detect
deleting deleting
efficientness efficiency
similarities similarities
phonetically phonetically
because because
english english
pronunciations pronunciations
efficientness efficiency
contans contain
phudo pseudo
bing being
hyphenated hyphenated
category category
froute fruit
additionally additionally
capitalization capitalization
occur occur
languages languages
literature literature
dyslexics dyslexics
equation equation
variety variety
channel channel
anb and
decause because
guid guide
fairie fairy
implementation implementation
designed designed
improvement improvement
implementing implementing
design design
dictionary dictionary
project project
bo do
hector hector
showe shoe
shoe shoe
improvement improvement
individual individual
future future
christmas christmas
journal journal
diary diary
diry diary
journal journal
diary diary
diary diary
fing thing
this this
diary diary
evry every
describe describe
sish wish
this this
some some
add add
monday monday
th the
christmas christmas
hary harry
wate wait
un until
agen again
christmas christmas
going going
awsum awesome
normally normally
don't don't
anything anything
dut but
yeat year
really really
game game
dall ball
ad and
forthrsd forts
th the
watched watched
ad and
really really
finc think
schetiest scariest
which which
think think
nicer nicer
wate wait
th the
hair hair
wors worst
fing thing
th the
house house
agam again
shutting shutting
ad and
really really
th the
nother another
movie movie
watched watched
favoret favourite
frecs freaks
dropp dropped
lites letters
there there
th the
mosiv massive
dall ball
friend friend
wednesday wednesday
watched watched
movy movie
coold called
th the
tercy turkey
doring boring
th the
really really
freds friends
house house
dack back
saturday saturday
th the
wochn woke
stockings stockings
until until
woke woke
opened opened
th the
treated treated
mele meal
ad and
wanted wanted
th the
people people
granny granny
grandpas grandpas
fotos photos
th the
sinimar cinema
watched watched
th the
going going
dack back
really really
dord bored
reading reading
ad and
dadly badly
ad and
dord board
morgiched mortgage
dy by
saturday saturday
earlier earlier
revision revision
seson session
skiing skiing
pleasant pleasant
hector hector
bo do
everything everything
ad and
lowered lowered
towards towards
sweater sweater
shirty shirt
forehead forehead
snashed smashed
heavily heavily
amung among
yellow yellow
minute minute
minute minute
minute minute
caught caught
gesture gesture
jungle jungle
seeme seem
moove move
creeper creeper
nees knees
thorns thorns
carefully carefully
fiar fair
spectacles spectacles
passenger passenger
frounte frunt
possible possible
towards towards
ambition ambition
thought thought
piolate pilot
flower flower
hesitated hesitated
moment moment
ralph ralph
acquaintance acquaintance
maide made
vaguely vaguely
steadily steadily
shoulder shoulder
asma asthma
asma asthma
asma asthma
thre there
expression expression
concentration concentration
contours contours
smeared smeared
spectacles spectacles
lowered lowered
sweater sweater
towards towards
forehead forehead
minute minute
jestured gesture
caught caught
carefully carefully
spectacles spectacles
passengers passengers
towards towards
thought thought
piolate pilot
plane plane
acquaintance acquaintance
ralph ralph
vaguely vaguely
steadily steadily
shoulder shoulder
asma asthma
paile pale
contours contours
sweater sweater
solemnly solemnly
declare declare
ambition ambition
piolate pilot
thought thought
pailote pilot
acquaintance acquaintance
nees knees
jungle jungle
heavily heavily
passengers passengers
vaguely vaguely
towards towards
sweater sweater
forehead forehead
heavily heavily
amung among
minute minute
munite minute
gesture gesture
grat great
tane time
dowing drawing
table table
lesong lessons
are are
really really
hockey hockey
cros cross
cuhcte country
watch watch
wore wore
raffle raffle
tickets tickets
prisos prizes
egs eggs
permission permission
ad and
ad and
spack spoke
lately lately
ad and
figured figured
anything anything
reddy ready
account account
website website
duties duties
tomorrow tomorrow
against against
until until
holidays holidays
christmas christmas
really really
ad and
dut but
yested yesterday
compositions compositions
country country
really really
tiring tiring
ad and
second second
competitions competitions
dording boarding
ad and
answer answer
dording boarding
dut but
stiff stuff
plad played
really really
rugby rugby
grampare grandpa
wonderful wonderful
drinks drinks
study study
watched watched
rugby rugby
grandpa grandpa
watching watching
really really
rugby rugby
dut but
dut but
scholarship scholarship
house house
lately lately
grandpa grandpa
granny granny
dut but
conduct conduct
marck mark
dut but
marcks marks
dut but
scared scared
flu flu
jabs jabs
nursery nursery
gose goes
dut but
movie movie
ruined ruined
dy by
which which
ded bed
really really
dall ball
first first
really really
esye easy
lately lately
ad and
dut but
woud would
ad and
very very
scholarship scholarship
really really
decause because
shour sure
grait grate
activities activities
revision revision
dall ball
ad and
hopefully hopefully
ad and
really really
science science
about about
choice choice
remember remember
chocolat chocolate
gether gather
gone gone
scholarship scholarship
observatory observatory
coved covered
scholarship scholarship
decause because
tane time
table table
football football
lesong lessons
are are
really really
hockey hockey
cros cross
cuhcte country
watch watch
