large 1:
Designed design
Idea idea
Ideas ideas
tholgts thoughts
hippopotimus hippopotamus
becose becuase
Fuiture Future
improvments improvements
implimentioation implementation
implimentation implementation
explimations explanations
buisness business
ditect detect
deleating deleting
efficientness efficiency
simmularities similarities
phanetically phonetically
becous because
englsh english
pronounciations pronunciations
efficientness efficiency
contans contain
phudo pseudo
bing being
hyphonated hyphenated
catogory category
froute fruit
Additionaly Additionally
capitilisation capitalization
occure occur
langauges languages
litriture literature
dislexics dyslexics
equasion equation
voriety variety
chennel channel
anb and
decause beacuse
guid guide
fairie fairy
implomentation implementation
desgined designed
improvments improvement
implomenting implementing
desgine design
dictonery dictionary
prodject project
bo do
hectore hector
showe shoe
shoew shoe
improvment improvement
indevidual individual
fuiture future
chrismas christmas
Jouranal journal
diry diary
diry diarychrismas christmas
Jouranal journal
diry diary
diry diary
fing thing
This this
diry diary
evry every
Describe describe
sish wish
This this
Some some
Add add
Monday monday
th the
crismas christmas
hary harry
wate wait
un untill
agen again
chrismas christmas
gowing going
awsum awesome
normaly normally
dont don't
enithing anything
dut but
yeat year
relly really
gane game
dall ball
ad and
forthrsd forts
th the
wached watched
ad and
relly really
finc think
schetiest scariest
whch which
thinck think
niser nicer
wate wait
th the
ahair hair
wors worst
fing thing
th the
hous house
agam again
shuting shutting
ad and
relly really
th the
nother another
movey movie
wached watched
favoret favourite
frecs freaks
dropp dropped
lites letters
ther there
th the
mosiv massive
dall ball
frend friend
Wednasday wednesday
wacht watched
movy movie
coold called
Th the
tercy turkey
doring boring
th the
relly really
freds friends
hous house
dack back
Sataday saturday
th the
wochn woke
stocings stockings
untill until
wolk woke
opend opened
th the
treted treated
mele meal
ad and
wated wanted
th the
piople people
grany granny
granmpars grandpas
fotos photos
th the
sinimar cinema
woched watched
th the
gowing going
dack back
relly really
Dord Bored
reabing reading
ad and
dadly badly
ad and
dord board
morgiched mortgage
dy by
Saterday saturday
erleyer earlier
rivision revision
seson session
skiying skiing
plesent pleasant
hectore hector
bo do
evething everything
ad and
lowwered lowered
towords towards
swetter sweater
shirty shirt
forhead forehead
snashed smashed
heavaly heavily
amung among
yelloy yellow
minuite minute
minite minute
muinite minute
cought caught
gejsture gesture
gungle jungle
seeme seem
moove move
kreeper creeper
nees knees
thawns thorns
cairfuly carefully
fiar fair
specticals spectacles
passinger passenger
frounte frunt
possibal possible
towords towards
ambission ambition
thoulght thought
piolate pilot
flawer flower
hesertated hesitated
mement moment
ralf ralph
aquantince acquaintance
maide made
vaugley vaguely
steadly steadily
sholder shoulder
asma asthma
asma asthma
asma asthma
thre there
expressiona expression
concentraton Concentration
contors contours
smeered smeared
specticals spectacles
lowwered lowered
swetter sweater
towords towards
fourhead forehead
minite minute
jestured gesture
coght caught
cairfully carefully
specticals spectacles
passingers Passengers
towords towards
thoulght thought
piolate pilot
plaine plane
aquaintence acquaintance
ralf ralph
vaiguely vaguely
steadly steadily
sholdure shoulder
asma asthma
paile pale
contors contours
swetter sweater
solemly solemnly
declair declare
ambision ambition
piolate pilot
thoulght thought
pailote pilot
aquaintence acquaintance
nees knees
gungle jungle
heavaly heavily
passingers passengers
vaugly vaguely
towords towards
swetter sweater
forhead forehead
hevaly heavily
amung among
minite minute
munite minute
jesture gesture
grat great
tane time
dowing drawing
tadle table
lesong lessons
ar are
relly really
Hocye hockey
cross cross
cute country
watch watch
wor wore
Rafal raffle
tickets tickets
prisons prizes
eggs eggs
permission permission
ad and
ad and
spack spoke
lately lately
ad and
figured figured
anything anything
reddy ready
account account
wedsite website
Duties duties
Tomorrow tomorrow
against against
until until
holidays holidays
Christmas Christmas
relly really
ad and
dut but
yesterday yesterday
compotisions compositions
country Country
relly really
tiering tiring
ad and
second second
compotisions competitions
boarding boarding
ad and
an answer
During boarding
dut but
Stiff stuff
played played
relly really
rugby rugby
grammar grandpa
wonderful wonderful
drinks drinks
study study
watched watched
rugby rugby
grampa grandpa
watching watching
relly really
rugby rugby
dut but
dut but
scholarship scholarship
hous house
lately lately
grampa grandpa
granny granny
dut but
conduct conduct
marck mark
dut but
Marcks marks
dut but
scared scared
flu flu
Jade jabs
nursery nursery
Jose goes
dut but
movies movie
rewind ruined
by by
which which
ded bed
relly really
dall ball
first first
relly really
easy easy
lately lately
ad and
dut but
would would
ad and
very very
Scholarship scholarship
gowing going
relly really
because because
share sure
great grate
activities activities
Revision revision
dall ball
ad and
hopefully hopefully
ad and
relly really
relly really
signs signs
about about
choice choice
remember remember
chocolate chocolate
gether gather
gon gone
scholarship scholarship
