large 1:
desgine design
idea idea
ideas ideas
thoughts thoughts
hippopotamus hippopotamus
becose becuase
future future
improvements improvements
implimentioation implementation
implementation implementation
explimations explanations
business business
detect detect
deleting deleting
efficientness efficiency
similarities similarities
phonetically phonetically
because because
english english
pronunciations pronunciations
efficientness efficiency
contans contain
pseudo pseudo
being being
hyphenated hyphenated
category category
froute fruit
additionally additionally
capitilisation capitalization
occur occur
languages languages
literature literature
dyslexics dyslexics
equation equation
variety variety
channel channel
and and
decause beacuse
guide guide
fairie fairy
implementation implementation
designed designed
improvments improvement
implementing implementing
desgine design
dictionary dictionary
project project
do do
hector hector
shoe shoe
shoe shoe
improvement improvement
individual individual
future future
christmas christmas
journal journal
diary diary
diry diarychrismas
journal journal
diary diary
diary diary
fing thing
this this
diary diary
every every
describe describe
wish wish
this this
some some
add add
monday monday
the the
christmas christmas
harry harry
wate wait
un untill
agen again
christmas christmas
going going
awsum awesome
normally normally
don't don't
anything anything
but but
year year
really really
game game
ball ball
and and
forthrsd forts
the the
watched watched
and and
really really
finc think
schetiest scariest
which which
think think
nicer nicer
wate wait
the the
hair hair
worst worst
fing thing
the the
house house
agam again
shutting shutting
and and
really really
the the
another another
movey movie
watched watched
favoret favourite
frecs freaks
dropp dropped
lites letters
there there
the the
mosiv massive
ball ball
friend friend
wednesday wednesday
watched watched
movy movie
coold called
the the
tercy turkey
boring boring
the the
really really
freds friends
house house
back back
saturday saturday
the the
wochn woke
stockings stockings
until until
woke woke
opened opened
the the
treated treated
mele meal
and and
wanted wanted
the the
people people
granny granny
grandpas grandpas
fotos photos
the the
sinimar cinema
watched watched
the the
going going
back back
really really
dord bored
reading reading
and and
badly badly
and and
dord board
morgiched mortgage
by by
saturday saturday
earlier earlier
revision revision
seson session
skiing skiing
plesent pleasant
hector hector
do do
everything everything
and and
lowered lowered
towards towards
sweater sweater
shirt shirt
forehead forehead
smashed smashed
heavily heavily
among among
yellow yellow
minute minute
minute minute
minute minute
caught caught
gesture gesture
jungle jungle
seem seem
move move
creeper creeper
knees knees
thawns thorns
cairfuly carefully
fair fair
specticals spectacles
passenger passenger
frounte frunt
possible possible
towards towards
ambition ambition
thought thought
piolate pilot
flower flower
wasn’t /
hesitated hesitated
moment moment
ralph ralph
aquantince acquaintance
made made
vaguely vaguely
steadily steadily
shoulder shoulder
asma asthma
asma asthma
asma asthma
there there
expression expression
concentration concentration
contours contours
smeared smeared
specticals spectacles
lowered lowered
sweater sweater
towards towards
forehead forehead
minute minute
jestured gesture
caught caught
carefully carefully
specticals spectacles
passengers passengers
towards towards
thought thought
piolate pilot
plane plane
acquaintance acquaintance
ralph ralph
vaguely vaguely
steadily steadily
shoulder shoulder
asma asthma
pale pale
contours contours
sweater sweater
solemnly solemnly
declair declare
ambition ambition
piolate pilot
thought thought
pilot pilot
acquaintance acquaintance
knees knees
jungle jungle
heavily heavily
passengers passengers
vaguely vaguely
towards towards
sweater sweater
forehead forehead
heavily heavily
among among
minute minute
munite minute
gesture gesture
great great
tane time
dowing drawing
table table
lessons lessons
are are
really really
hockey hockey
cross cross
cuhcte country
watch watch
wore wore
raffle raffle
tickets tickets
prisos prizes
eggs eggs
permission permission
and and
and and
spack spoke
lately lately
and and
figured figured
anything anything
ready ready
account account
website website
duties duties
tomorrow tomorrow
agenst against
until until
holidays holidays
christmas christmas
really really
and and
but but
yested yesterday
compositions compositions
country country
really really
tiring tiring
and and
second second
competitions competitions
dording boarding
and and
answer answer
dording boarding
but but
stiff stuff
plad played
really really
rugby rugby
grampare grandpa
wonderful wonderful
drinks drinks
study study
watched watched
rugby rugby
grampar grandpa
watching watching
really really
rugby rugby
but but
but but
scoloship scholarship
house house
lately lately
grampar grandpa
granny granny
but but
conduct conduct
mark mark
but but
marks marks
but but
scared scared
flu flu
jabs jabs
nursery nursery
goes goes
but but
movey movie
ruwind ruined
by by
which which
bed bed
really really
ball ball
first first
really really
esye easy
lately lately
and and
but but
would would
and and
very very
scholarship scholarship
really really
because because
shour sure
grait grate
acktivitys activities
revision revision
ball ball
and and
hopefully hopefully
and and
really really
sicens science
about about
choice choice
remember remember
chocolate chocolate
gather gather
gone gone
scholarship scholarship
odsevvotory observatory
coved covered
scoloship scholarship
because because
tane time
table table
football football
lessons lessons
are are
really really
hockey hockey
cross cross
cuhcte country
watch watch
wore wore
tickets tickets
figured figured
enthing everything
ready ready
medium 1:
benefit benefit
entrepreneur entrepreneur
making making
business business
business business
successful successful
beneficial beneficial
entrepenure entrepreneur
business business
business business
business business
business business
business business
consider consider
important important
business business
quantitys quantities
lead lead
the the
business business
business business
expand expand
business business
business business
business business
produces produces
business business
business business
customer customer
repete repeat
customer customer
business business
reserve reserve
advertisement advertisement
business business
known known
business business
customer customer
customer customer
business business
revewes reviews
business business
reputation reputation
business business
potentially potentially
customers customers
customers customers
become become
and and
therefore therefore
business business
revenue revenue
business business
would would
customer customer
purchase purchase
manufacture manufacture
usually usually
specified specified
cousemer customer
customer customer
different different
something something
customer customer
coustomers customer
wanted wanted
couler colour
business business
vehicle vehicle
personal personal
attract attract
something something
methods methods
exercise exercise
improvement improvement
section section
improvements improvements
cair care
costumers costumers
afford afford
crowd crowd
something something
competitors competitors
actually actually
really really
would would
persuade persuade
chooses chooses
business business
business business
opinion opinion
already already
business business
indipendanly independently
trainer trainer
keep keep
earns earns
business business
instead instead
benefits benefits
money money
stores stores
warehouse warehouse
accessible accessible
are are
working working
goes goes
before before
something something
warehouse warehouse
increase increase
comepete complete
competitors competitors
likle likely
money money
because because
medium 2:
trees trees
panic panic
because because
probably probably
terrified terrified
reckless reckless
situation situation
reckless reckless
privileged privileged
because because
recall recall
helicopter helicopter
shouldn't shouldn't
illusion illusion
privileged privileged
whereas whereas
thought thought
privileged privileged
reference reference
experience experience
field field
through through
opinion opinion
helicopter helicopter
chillies chillies
their their
helicopter helicopter
helicopter helicopter
flying flying
thought thought
similar similar
thought thought
similar similar
different different
reckless reckless
terrible terrible
helicopter helicopter
probably probably
probably probably
probably probably
amount amount
constantly constantly
someone someone
similar similar
because because
different different
around around
because because
because because
around around
boring boring
disappointments disappointments
challenging challenging
boring boring
because because
succeed succeed
medium 3:
aincent ancient
criticises criticises
corrupt corrupt
exahrated exaggerated
embezzling embezzling
difference difference
instead instead
paid paid
maintenance maintenance
damning damning
horribly horribly
penelope penelope
hatred hatred
trys tries
jeprodising jeopardise
positive positive
opportunity opportunity
fafal fulfil
prosecuted prosecuted
government government
certain certain
scarliage sacrilege
transferred transferred
athens athens
aegean aegean
fulfilled fulfilled
throught throughout
viewed viewed
presupposed presupposed
tried tried
tibew tribes
captain captain
unstaible unsuitable
interests interests
divert divert
league league
aincent ancient
passage passage
alot a
terrified terrified
exciting exciting
immediately immediately
helmet helmet
quotatm quotation
gruesome gruesome
different different
extremy extremely
voulenteerd volunteered
forfulling fulfilling
faviroute favourite
believes believes
herdsmen herdsmen
attract attract
immedity immediately
engaging engaging
actually actually
trates traits
hishold household
carrys carries
jeprodises jeopardises
correct correct
challenges challenges
ceaser caesar
impearior emperor
burial burial
perceived perceived
decisions decisions
jepradises jeopardize
dispare despair
forefill fulfil
minevera minerva
believed believed
succumb succumb
significant significant
tragedy tragedy
trys tries
received received
others others
pageant pageant
positive positive
intimacy intimacy
receive receive
received received
glorifies glorifies
analysing analysing
brutality brutality
