treees trees
pannick panic
becase because
probarbly probably
terrorfied terrified
wreckless reckless
sitautuion situation
wreckless reckless
privalaged privileged
becasue because
reacall recall
helecopter helicopter
souldnt shouldn't
illustion illusion
privalged privileged
Wheras whereas
thaught thought
privalged privileged
referece reference
experiance experience
feild field
thrugh through
oppinion opinion
helecopter helicopter
chillie chillies
thir their
helecopter helicopter
helecopter helicopter
flyuing flying
thaught thought
simalar similar
thaught thought
simalar similar
differnt different
wreckless reckless
terrorble terrible
helecopter helicopter
probarbly probably
probarbly probably
probarbly probably
ammount amount
contantly constantly
somone someone
simalar similar
becuase because
differnt different
arround around
becuase because
becasue because
arround around
boaring boring
disapointments disappointments
chalenging challenging
boaring boring
becuase because
suceed succeed
